rule_id,our_status,rule,arm,arm_id,zipcpu,zipcpu_id,yosys,yosys_id,notes,page
R001,implemented,"All five channels use VALID/READY handshake; once VALID asserted it must remain until handshake.",1,AXI4_ERRM_{AW|W|AR}VALID_STABLE; AXI4_ERRS_{B|R}VALID_STABLE,1,L337; L352; L361; L377; L386,1,ap_{AW|W|AR|B|R}_*VALID_until_*READY,,A3-39
R002,partial,"Source must not wait for READY before asserting VALID.",1,AXI4_ERRM_AWVALID_STABLE,0,,0,,"Only ARM checks VALID-not-dependent-on-READY.",A3-39
R003,implemented,"Destination permitted to wait for VALID before asserting READY; can also assert READY before VALID.",1,implied,0,,1,wp_{AW|W|AR|B|R}_READY_before_VALID,"Informational. Yosys cover properties only.",A3-39
R004,implemented,"AWVALID/WVALID/ARVALID must be LOW during reset; RVALID/BVALID must be LOW during reset.",1,AXI4_ERRM_{AW|W|AR}VALID_RESET; AXI4_ERRS_{R|B}VALID_RESET,1,L298-303,1,ap_{AW|W|AR|R|B}_EXIT_RESET,,A3-38
R005,implemented,"First VALID assertion permitted only after rising ACLK with ARESETn HIGH.",1,AXI4_ERRM_*VALID_RESET; AXI4_ERRS_*VALID_RESET,1,L298-303; L311-316,1,exit_from_reset on all channels,,A3-38
R006,implemented,"AW channel: all signals (AWADDR/AWLEN/AWSIZE/AWBURST/AWCACHE/AWPROT/AWID/AWLOCK/AWQOS/AWREGION/AWUSER) stable while AWVALID HIGH until handshake.",1,AXI4_ERRM_AW{ADDR|LEN|SIZE|BURST|CACHE|PROT|ID|LOCK|QOS|REGION|USER}_STABLE,1,L338-346,1,ap_AW_STABLE_{AWADDR|...|AWUSER},"ZipCPU covers all instantiated signals incl. QOS (L346); omits REGION/USER (no ports).",A3-39
R007,implemented,"W channel: WDATA/WSTRB/WLAST/WUSER stable while WVALID HIGH until handshake.",1,AXI4_ERRM_W{DATA|STRB|LAST|USER}_STABLE,1,L353-355,1,ap_W_STABLE_{WDATA|WSTRB|WLAST|WUSER},"ZipCPU: no WUSER port.",A3-39
R008,implemented,"AR channel: all signals (ARADDR/ARLEN/ARSIZE/ARBURST/ARCACHE/ARPROT/ARID/ARLOCK/ARQOS/ARREGION/ARUSER) stable while ARVALID HIGH until handshake.",1,AXI4_ERRM_AR{ADDR|LEN|SIZE|BURST|CACHE|PROT|ID|LOCK|QOS|REGION|USER}_STABLE,1,L362-370,1,ap_AR_STABLE_{ARADDR|...|ARUSER},"ZipCPU covers all instantiated signals incl. QOS (L370); omits REGION/USER (no ports).",A3-39
R009,implemented,"B channel: BRESP/BID/BUSER stable while BVALID HIGH until handshake.",1,AXI4_ERRS_B{RESP|ID|USER}_STABLE,1,L387-388,1,ap_B_STABLE_{BRESP|BID|BUSER},"ZipCPU: no BUSER port.",A3-39
R010,implemented,"R channel: RDATA/RRESP/RLAST/RID/RUSER stable while RVALID HIGH until handshake.",1,AXI4_ERRS_R{DATA|RESP|LAST|ID|USER}_STABLE,1,L378-381,1,ap_R_STABLE_{RDATA|RRESP|RLAST|RID|RUSER},"ZipCPU: no RUSER port.",A3-39
R011,implemented,"No X on VALID/READY signals (all 10: 5×VALID + 5×READY).",1,AXI4_ERRM_{AW|W|AR}VALID_X; AXI4_ERRS_{B|R}VALID_X; AXI4_ERRS_{AW|W|AR}READY_X; AXI4_ERRM_{B|R}READY_X,0,,1,ap_{AW|W|AR|B|R}_{xVALID|xREADY}_X,"ZipCPU has no X-prop checks.",A3-40
R012,implemented,"No X on AW channel signals when AWVALID HIGH.",1,AXI4_ERRM_AW{ADDR|LEN|SIZE|BURST|LOCK|CACHE|PROT|ID|QOS|REGION|USER}_X,0,,1,ap_AW_AW*_X,"ZipCPU: no X-prop.",A3-40
R013,implemented,"No X on W channel signals when WVALID HIGH.",1,AXI4_ERRM_W{DATA|STRB|LAST|USER}_X,0,,1,ap_W_W*_X,"ZipCPU: no X-prop.",A3-40
R014,implemented,"No X on AR channel signals when ARVALID HIGH.",1,AXI4_ERRM_AR{ADDR|LEN|SIZE|BURST|LOCK|CACHE|PROT|ID|QOS|REGION|USER}_X,0,,1,ap_AR_AR*_X,"ZipCPU: no X-prop.",A3-40
R015,implemented,"No X on B channel signals when BVALID HIGH.",1,AXI4_ERRS_B{RESP|ID|USER}_X,0,,1,ap_B_B*_X,"ZipCPU: no X-prop.",A3-40
R016,implemented,"No X on R channel signals when RVALID HIGH.",1,AXI4_ERRS_R{DATA|RESP|LAST|ID|USER}_X,0,,1,ap_R_R*_X,"ZipCPU: no X-prop.",A3-40
R017,partial,"Manager must not wait for AWREADY/WREADY before AWVALID/WVALID; subordinate must not wait for BREADY/RREADY before BVALID/RVALID.",1,AXI4_ERRM_AWVALID_STABLE; AXI4_ERRS_BVALID_STABLE; AXI4_ERRS_RVALID_STABLE,0,,0,,"Only ARM checks VALID-to-READY dependency direction.",A3-39
